,k,Model,Accuracy,Precision,Recall,F1-Score
8,500,SVM,0.6984732824427481,0.6983530386869625,0.6987692834084587,0.6948881822003672
5,100,SVM,0.6641221374045801,0.6609189670948321,0.6644604116769065,0.6596031118131973
6,500,Logistic Regression,0.6626908396946565,0.6582565356895944,0.6630117076508829,0.6522455872517475
2,50,SVM,0.6149809160305344,0.6129042363416091,0.6153057824191844,0.6106933051060253
3,100,Logistic Regression,0.6140267175572519,0.5961279714085014,0.6144315516480465,0.5985063315166548
4,100,Random Forest,0.6106870229007634,0.5950644609087666,0.6111381859835469,0.5977117504253979
1,50,Random Forest,0.6073473282442748,0.5921530298789099,0.6077558600239011,0.5958546063618043
7,500,Random Forest,0.6054389312977099,0.5898471707505929,0.6059094132290008,0.5912578973597349
0,50,Logistic Regression,0.5663167938931297,0.5500340805235254,0.5667054938188958,0.5501273937510015
